Image,PSNR,SSIM,LPIPS
0026.png,24.573676185509278,0.8150205,0.3060548007488251
0027.png,31.029591391268315,0.92299086,0.27800068259239197
0032.png,32.66176082278352,0.86048,0.2665187120437622
0034.png,28.20867318854419,0.8754106,0.1381877362728119
0036.png,34.06495818455957,0.9408857,0.09384727478027344
AVERAGE,30.107731954532976,0.8829576,0.21652184128761293
