Image,PSNR,SSIM,LPIPS
0026.png,27.070540121265406,0.879443,0.13949601352214813
0027.png,33.86628417371381,0.9482947,0.23855939507484436
0032.png,35.92596319248594,0.9336347,0.14047813415527344
0034.png,30.665749977980617,0.9289014,0.0595632866024971
0036.png,37.176222710701644,0.9575117,0.07365182042121887
AVERAGE,32.94095203522948,0.92955714,0.1303497299551964
