Image,PSNR,SSIM,LPIPS
0026.png,30.528018148847163,0.93678766,0.08060307800769806
0027.png,36.53907834752844,0.963504,0.20941069722175598
0032.png,38.29870166468113,0.95772904,0.07626700401306152
0034.png,34.44424069371091,0.96262866,0.03361387550830841
0036.png,39.69031729018908,0.9704192,0.04986313730478287
AVERAGE,35.900071228991344,0.9582137,0.08995155841112137
