Image,PSNR,SSIM,LPIPS
0026.png,30.011333847853265,0.9352379,0.09412543475627899
0027.png,36.187960563818805,0.96293896,0.23171032965183258
0032.png,38.13937421235066,0.95574206,0.07929591089487076
0034.png,34.075153138614176,0.9608991,0.03587736189365387
0036.png,39.52401647972995,0.9698698,0.0523143894970417
AVERAGE,35.587567648473375,0.9569376,0.09866468533873558
